,iata_code,name
228,UTK,Utirik Airport
456,OCA,Ocean Reef Club Airport
618,PQS,Pilot Station Airport
697,CSE,Crested Butte Airpark
1119,JCY,LBJ Ranch Airport
1439,PMX,Metropolitan Airport
1478,WLR,Loring Seaplane Base
1599,NUP,Nunapitchuk Airport
1618,PTC,Port Alice Seaplane Base
1775,ICY,Icy Bay Airport
1811,PPV,Port Protection Seaplane Base
2043,KKK,Kalakaket Creek AS Airport
2231,MHS,Dunsmuir Muni-Mott Airport
2425,NIR,Chase Field Industrial Airport
2446,GCT,Grand Canyon Bar Ten Airstrip
2447,ELW,Ellamar Seaplane Base
3050,LVD,Lime Village Airport
3057,HGZ,Hog River Airport
3227,OTN,Ed-Air Airport
3279,TLF,Telida Airport
3597,BZT,Eagle Air Park
3734,HBH,Entrance Island Seaplane Base
3738,FAK,False Island Seaplane Base
4199,BYW,Blakely Island Airport
4264,DRF,Drift River Airport
4444,BDF,Rinkenberger Restricted Landing Area
4798,VRS,Roy Otten Memorial Airfield
4858,GDH,Golden Horn Lodge Seaplane Base
5355,ATT,Atmautluak Airport
5358,LIV,Livengood Camp Airport
5531,PDB,Pedro Bay Airport
5532,KOZ,Ouzinkie Airport
5533,TNK,Tununak Airport
5793,EVA,Ben Bruce Memorial Airpark
5895,WHD,Hyder Seaplane Base
5996,MNT,Minto Al Wright Airport
6235,TKI,Tokeen Seaplane Base
6379,WKK,Aleknagik / New Airport
6574,WFB,Ketchikan Harbor Seaplane Base
6717,NNK,Naknek Airport
6929,BKF,Lake Brooks Seaplane Base
7195,BCS,Southern Seaplane Airport
7444,SPQ,Catalina Air-Sea Terminal Heliport
7657,TSS,East 34th Street Heliport
7659,QNY,New York Skyports Inc Seaplane Base
7740,BWL,Earl Henry Airport
8283,WYB,Yes Bay Lodge Seaplane Base
8309,CWS,Center Island Airport
8514,TEK,Tatitlek Airport
8617,DUF,Pine Island Airport
8809,SSW,Stuart Island Airpark
8937,FOB,Fort Bragg Airport
9006,PUL,Port of Poulsbo Marina Moorage Seaplane Base
9021,CCD,Century City Heliport
9031,WMK,Meyers Chuck Seaplane Base
9249,AXB,Maxson Airfield
9727,REE,Reese Airpark
9768,WDN,Waldron Airstrip
10023,WWP,Whale Pass Seaplane Float Harbor Facility
10175,CHU,Chuathbaluk Airport
10176,UGS,Ugashik Airport
10204,MXG,Marlboro Airport
10405,PSQ,Philadelphia Seaplane Base
10652,KLL,Levelock Airport
10656,SGW,Saginaw Seaplane Base
10664,WTL,Tuntutuliak Airport
10665,TWA,Twin Hills Airport
10671,KCQ,Chignik Lake Airport
10698,AAD,Adado Airport
10702,ABP,Atkamba Airport
10703,ABW,Abau Airport
10704,WAP,Woodland Airpark (duplicate)
10707,ALV,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport
10708,ADC,Andakombe Airport
10710,ADV,El Daein Airport
10716,DJH,Jebel Ali Seaplane Base
10798,AEE,Adareil Airport
10799,AEI,Algeciras Heliport
10800,AEK,Aseki Airport
10801,AEQ,Ar Horqin Airport
10820,URZ,Orūzgān Airport
10821,OLR,Salerno Airport
10826,AFK,Kondavattavana Tank Seaplane Base
10827,AFR,Afore Airstrip
10829,AFT,Afutara Aerodrome
10830,RNA,Ulawa Airport
10831,ATD,Uru Harbour Airport
10832,VEV,Barakoma Airport
10833,GEF,Geva Airport
10834,AGG,Angoram Airport
10835,AKS,Gwaunaru'u Airport
10836,BNY,Bellona/Anua Airport
10837,CHY,Choiseul Bay Airport
10838,BAS,Ballalae Airport
10839,FRE,Fera/Maringe Airport
10840,HIR,Honiara International Airport
10841,MBU,Babanakira Airport
10842,AVU,Avu Avu Airport
10843,IRA,Ngorangora Airport
